state,2020_polls_margin
AL,20.27777777777778
AK,6.533333333333333
AZ,-2.8081632653061224
AR,24.22222222222222
CA,-28.84375
CO,-12.514285714285714
CT,-23.307692307692307
DE,-25.555555555555557
DC,-78.16666666666667
FL,-2.8596491228070176
GA,-0.3354838709677419
HI,-30.333333333333332
ID,22.0
IL,-17.272727272727273
IN,11.666666666666666
IA,1.3220338983050848
KS,9.19047619047619
KY,17.869565217391305
LA,18.583333333333332
ME,-12.838709677419354
MD,-31.53846153846154
MA,-36.61538461538461
MI,-6.998765432098765
MN,-8.714285714285714
MS,16.615384615384617
MO,7.136363636363637
MT,7.666666666666667
NE,11.0
NV,-4.0
NH,-9.030303030303031
NJ,-19.904761904761905
NM,-10.076923076923077
NY,-28.5
NC,-1.8106918238993712
ND,24.3
OH,1.3559322033898304
OK,24.642857142857142
OR,-20.333333333333332
PA,-5.075690607734807
RI,-23.833333333333332
SC,7.131578947368421
SD,19.75
TN,16.5
TX,1.9489795918367347
UT,13.5
VT,-38.625
VA,-11.366666666666667
WA,-24.066666666666666
WV,29.5
WI,-5.88
WY,39.42857142857143
