state,dem_percentage,gop_percentage,winner,margin_percentage,2004_results_margin
AL,36.84,62.46,R,25.62,25.62
AK,35.52,61.07,R,25.55,25.55
AZ,44.4,54.87,R,10.47,10.47
AR,44.55,54.31,R,9.76,9.76
CA,54.31,44.36,D,9.95,-9.95
CO,47.02,51.69,R,4.67,4.67
CT,54.31,43.95,D,10.37,-10.37
DE,53.35,45.75,D,7.59,-7.59
DC,89.18,9.34,D,79.84,-79.84
FL,47.09,52.1,R,5.01,5.01
GA,41.37,57.97,R,16.6,16.6
HI,54.01,45.26,D,8.74,-8.74
ID,30.26,68.38,R,38.12,38.12
IL,54.82,44.48,D,10.34,-10.34
IN,39.26,59.94,R,20.68,20.68
IA,49.23,49.9,R,0.67,0.67
KS,36.62,62.0,R,25.38,25.38
KY,39.69,59.55,R,19.86,19.86
LA,42.22,56.72,R,14.51,14.51
ME,53.57,44.58,D,9.0,-9.0
MD,55.91,42.93,D,12.98,-12.98
MA,61.94,36.78,D,25.16,-25.16
MI,51.23,47.81,D,3.42,-3.42
MN,51.09,47.61,D,3.48,-3.48
MS,39.76,59.45,R,19.69,19.69
MO,46.1,53.3,R,7.2,7.2
MT,38.56,59.07,R,20.5,20.5
NE,32.68,65.9,R,33.22,33.22
NV,47.88,50.47,R,2.59,2.59
NH,50.24,48.87,D,1.37,-1.37
NJ,52.92,46.24,D,6.68,-6.68
NM,49.05,49.84,R,0.79,0.79
NY,58.37,40.08,D,18.29,-18.29
NC,43.58,56.02,R,12.43,12.43
ND,35.5,62.86,R,27.36,27.36
OH,48.71,50.81,R,2.11,2.11
OK,34.43,65.57,R,31.14,31.14
OR,51.35,47.19,D,4.16,-4.16
PA,50.92,48.42,D,2.5,-2.5
RI,59.42,38.67,D,20.75,-20.75
SC,40.9,57.98,R,17.08,17.08
SD,38.44,59.91,R,21.47,21.47
TN,42.53,56.8,R,14.27,14.27
TX,38.22,61.09,R,22.86,22.86
UT,26.0,71.54,R,45.54,45.54
VT,58.94,38.8,D,20.14,-20.14
VA,45.48,53.68,R,8.2,8.2
WA,52.82,45.64,D,7.18,-7.18
WV,43.2,56.06,R,12.86,12.86
WI,49.7,49.32,D,0.38,-0.38
WY,29.07,68.86,R,39.79,39.79
