state,2012_polls_margin
AL,16.5
AZ,2.8421052631578947
AR,23.833333333333332
CA,-21.305
CO,-3.1731343283582087
CT,-12.736842105263158
DC,-80.0
FL,-1.9154135338345866
GA,8.288235294117648
HI,-29.5
ID,36.0
IL,-19.375
IN,9.916666666666666
IA,-3.665909090909091
KS,21.0
KY,14.0
LA,19.299999999999997
ME,-15.315384615384614
MD,-21.333333333333332
MA,-21.19607843137255
MI,-7.251384615384616
MN,-10.666666666666666
MS,15.833333333333334
MO,5.1994444444444445
MT,7.130434782608695
NE,8.5625
NV,-6.51875
NH,-5.491379310344827
NJ,-15.384615384615385
NM,-11.413513513513514
NY,-27.933333333333334
NC,-0.3197368421052632
ND,15.75
OH,-4.204225352112676
OK,30.0
OR,-9.8
PA,-6.765555555555555
RI,-23.7
SC,-2.75
SD,9.4
TN,2.727272727272727
TX,9.6
UT,47.25
VT,-30.76
VA,-3.908333333333333
WA,-13.627272727272727
WV,15.5
WI,-6.756790123456789
