state,2008_polls_margin
AL,21.20384615384615
AK,11.85
AZ,10.0
AR,13.384615384615385
CA,-15.078947368421053
CO,-3.8015625
CT,-16.0
DE,-17.344444444444445
DC,-67.5
FL,0.7453608247422678
GA,7.9411764705882355
HI,-31.0
ID,27.333333333333332
IL,-18.708333333333332
IN,2.6515151515151514
IA,-9.142424242424243
KS,14.38888888888889
KY,16.523809523809526
LA,12.384615384615385
ME,-14.252
MD,-16.0
MA,-12.347826086956522
MI,-6.531481481481482
MN,-7.9639999999999995
MS,10.8
MO,1.9395833333333332
MT,4.300000000000001
NE,13.0
NV,-1.7340909090909093
NH,-5.809090909090909
NJ,-10.264705882352942
NM,-5.363157894736842
NY,-15.435897435897436
NC,0.9265060240963855
ND,2.6666666666666665
OH,-1.3711538461538464
OK,30.360000000000003
OR,-9.514285714285714
PA,-6.844827586206897
RI,-19.3
SC,10.476923076923075
SD,10.333333333333334
TN,16.533333333333335
TX,10.065000000000001
UT,28.0
VT,-27.8
VA,-2.2341772151898733
WA,-10.8
WV,7.45
WI,-7.223809523809523
WY,26.8
