state,dem_percentage,gop_percentage,winner,margin_percentage,2016_results_margin
AL,34.36,62.08,R,27.73,27.73
AK,36.55,51.28,R,14.73,14.73
AZ,44.58,48.08,R,3.5,3.5
AR,33.65,60.57,R,26.92,26.92
CA,61.73,31.62,D,30.11,-30.11
CO,48.16,43.25,D,4.91,-4.91
CT,54.57,40.93,D,13.64,-13.64
DE,53.09,41.72,D,11.37,-11.37
DC,90.86,4.09,D,86.77,-86.77
FL,47.82,49.02,R,1.2,1.2
GA,45.64,50.77,R,5.13,5.13
HI,62.22,30.03,D,32.18,-32.18
ID,27.49,59.26,R,31.77,31.77
IL,55.83,38.76,D,17.06,-17.06
IN,37.91,56.82,R,19.17,19.17
IA,41.74,51.15,R,9.41,9.41
KS,36.05,56.65,R,20.6,20.6
KY,32.68,62.52,R,29.84,29.84
LA,38.45,58.09,R,19.64,19.64
ME,47.83,44.87,D,2.96,-2.96
MD,60.33,33.91,D,26.42,-26.42
MA,60.01,32.81,D,27.2,-27.2
MI,47.27,47.5,R,0.23,0.23
MN,46.44,44.92,D,1.52,-1.52
MS,40.06,57.86,R,17.83,17.83
MO,38.14,56.77,R,18.64,18.64
MT,35.75,56.17,R,20.42,20.42
NE,33.7,58.75,R,25.05,25.05
NV,47.92,45.5,D,2.42,-2.42
NH,46.98,46.61,D,0.37,-0.37
NJ,55.45,41.35,D,14.1,-14.1
NM,48.26,40.04,D,8.21,-8.21
NY,59.01,36.52,D,22.49,-22.49
NC,46.17,49.83,R,3.66,3.66
ND,27.23,62.96,R,35.73,35.73
OH,43.56,51.69,R,8.13,8.13
OK,28.93,65.32,R,37.08,37.08
OR,50.07,39.09,D,10.98,-10.98
PA,47.46,48.18,R,0.72,0.72
RI,54.41,38.9,D,15.51,-15.51
SC,40.67,54.94,R,14.27,14.27
SD,31.74,61.53,R,29.79,29.79
TN,34.72,60.72,R,26.01,26.01
TX,43.24,52.23,R,8.99,8.99
UT,27.46,45.54,R,18.08,18.08
VT,56.68,30.27,D,26.41,-26.41
VA,49.73,44.41,D,5.32,-5.32
WA,52.54,36.83,D,15.71,-15.71
WV,26.43,68.5,R,42.07,42.07
WI,46.45,47.22,R,0.77,0.77
WY,21.88,68.17,R,46.29,46.29
