state,2004_polls_margin
AL,19.61904761904762
AK,25.0
AZ,7.705882352941177
AR,3.5138888888888897
CA,-10.285714285714286
CO,4.138888888888889
CT,-11.923076923076923
DE,-8.3
DC,-67.0
FL,1.0647058823529414
GA,13.333333333333334
HI,-3.825000000000001
ID,29.5
IL,-9.9
IN,18.153846153846153
IA,-0.7966666666666666
KS,20.5
KY,16.46153846153846
LA,14.084615384615384
ME,-4.907407407407407
MD,-10.38888888888889
MA,-24.77
MI,-3.815714285714286
MN,-3.747058823529411
MS,20.1
MO,3.5536585365853655
MT,23.333333333333332
NE,29.4
NV,2.8142857142857145
NH,-2.6117647058823534
NJ,-6.219565217391305
NM,-2.77027027027027
NY,-16.444444444444443
NC,7.674193548387097
ND,24.5
OH,0.8941176470588236
OK,26.14814814814815
OR,-4.83953488372093
PA,-2.3
RI,-22.5
SC,13.45
SD,11.416666666666666
TN,8.36551724137931
TX,22.0
UT,40.833333333333336
VT,-10.0
VA,4.966666666666667
WA,-7.00952380952381
WV,3.1206896551724137
WI,0.24687500000000018
WY,36.0
