,disposable_personal_income,GDP,IRPD,disposable_personal_income_capita,PCE_capita,personal_income_capita,personal_consumption_expenditure,personal_income,real_GDP_2012,real_PCE_2012,real_per_capita_PCE,real_per_capita_personal_income,real_personal_income,RPPs,total_employment
RI,58730.1,60770.6,113.276,53575.0,41548.0,59941.0,45546.3,65709.0,51516.1,40076.5,37911.0,53859.0,56935.8,101.845,615726.0
SC,227513.9,245359.5,101.934,44343.0,38355.0,49105.0,196787.9,251946.2,208234.1,192240.4,36842.0,47252.0,246563.9,91.647,2825222.0
SD,49853.7,55681.2,101.79,56199.0,42246.0,60446.0,37476.5,53621.5,47402.4,36681.1,41089.0,58414.0,52147.6,91.518,606699.0
TN,334898.0,379007.1,102.493,48395.0,37481.0,52351.0,259372.2,362278.1,323454.0,251970.4,36587.0,49955.0,344034.4,92.15,4121399.0
TX,1479123.6,1789933.4,110.715,50624.0,40003.0,55601.0,1168805.2,1624525.8,1747562.0,1051771.0,35822.0,49945.0,1466415.9,99.542,17706662.0
UT,152659.2,202133.4,106.021,46519.0,37320.0,52225.0,122472.1,171385.4,174954.7,114548.0,35247.0,49388.0,160505.6,95.322,2135409.0
VT,34260.0,34018.6,110.499,53323.0,46205.0,59296.0,29686.3,38097.7,29064.6,26737.7,42894.0,53726.0,33490.0,99.347,409390.0
VA,470939.4,556992.6,112.313,54557.0,42831.0,62189.0,369718.3,536817.2,478909.3,327035.8,38069.0,55333.0,475341.6,100.978,5224997.0
WA,473497.6,612969.1,119.41,61344.0,46198.0,68350.0,356590.2,527581.8,538856.1,296640.8,38557.0,56385.0,433804.2,107.359,4436065.0
WV,74113.9,76547.9,97.833,41409.0,37176.0,45240.0,66537.4,80971.2,70444.2,67875.3,38030.0,46130.0,82331.9,87.959,841019.0
WI,294460.8,340591.1,103.648,49974.0,40726.0,55941.0,239972.9,329622.8,293104.9,230514.1,39521.0,53798.0,313787.8,93.188,3582636.0
WY,34345.3,36330.4,102.612,59496.0,42556.0,65782.0,24566.4,37974.0,36268.6,23844.0,40946.0,60463.0,35209.1,92.257,401871.0
