OBJECTID,STATENS,GEOID,STUSPS,NAME,ALAND,AWATER,B25010_001E,B25010_001M,B25010_002E,B25010_002M,B25010_003E,B25010_003M,B01001_001E,B01001_001M,B01001_calc_PopDensity,created_user,created_date,last_edited_user,last_edited_date,B01001_calc_PopDensityM,SHAPE_Length,SHAPE_Area
22,00606926,25,MA,Massachusetts,20205125364,7129925486,2.53,0.01,2.69,0.01,2.26,0.02,6830193,,338.042594487908,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,15.9803819055959,2.32503710373384
23,01779789,26,MI,Michigan,146600952990,103885855702,2.49,0.01,2.57,0.01,2.28,0.01,9957488,,67.9223961162055,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,51.3733218726682,17.0807032975216
24,00662849,27,MN,Minnesota,206228939448,18945217189,2.49,0.01,2.6,0.01,2.21,0.03,5527358,,26.802048319672,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,35.1165995136611,25.5388628835239
25,01779790,28,MS,Mississippi,121533519481,3926919758,2.62,0.03,2.62,0.01,2.6,0.02,2988762,,24.5920797222305,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,24.8546577861667,11.8878209486085
26,01779791,29,MO,Missouri,178050802184,2489425460,2.47,0.01,2.56,0.01,2.28,0.02,6090062,,34.2040694301756,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,24.9235744814391,18.6150046049832
27,00767982,30,MT,Montana,376962738765,3869208832,2.39,0.01,2.47,0.02,2.23,0.02,1041732,,2.76348798667186,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,36.7089711839548,45.0783431380494
28,01779792,31,NE,Nebraska,198956658395,1371829134,2.46,0.02,2.58,0.01,2.22,0.02,1904760,,9.57374342415005,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,24.2564936359105,21.6137959484287
29,01779793,32,NV,Nevada,284329506470,2047206072,2.68,0.01,2.72,0.03,2.64,0.02,2922849,,10.2797948629661,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,23.8648294084824,29.9399961420029
30,01779794,33,NH,New Hampshire,23189413166,1026675248,2.46,0.01,2.59,0.01,2.15,0.03,1343622,,57.9411816237765,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,9.91045061464274,2.68346583181512
31,01779795,34,NJ,New Jersey,19047825980,3544860246,2.71,0.02,2.81,0.01,2.52,0.01,8881845,,466.291796729235,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,8.66872038679264,2.13192116483281
32,00897535,35,NM,New Mexico,314196306401,728776523,2.64,0.01,2.69,0.02,2.54,0.03,2092434,,6.65963907713633,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,23.6825625957018,30.8934905570075
33,01779796,36,NY,New York,122049149763,19246994695,2.6,0.01,2.75,0.01,2.43,0.01,19618453,,160.742234076156,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,29.6122452307391,14.0164375431147
34,01027616,37,NC,North Carolina,125923656064,13466071395,2.52,0.01,2.57,0.02,2.44,0.02,10155624,,80.6490560823493,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,36.7544322216564,12.8557460639137
35,01779797,38,ND,North Dakota,178707534813,4403267548,2.31,0.03,2.49,0.03,2.01,0.04,752201,,4.20911743193763,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,25.1867169586967,21.8399351631975
36,01085497,39,OH,Ohio,105828882568,10268850702,2.43,0.01,2.53,0.01,2.24,0.01,11641879,,110.006632570457,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,16.7290243788944,11.3379094763652
37,01102857,40,OK,Oklahoma,177662925723,3374587997,2.58,0.01,2.62,0.02,2.5,0.01,3918137,,22.0537683034045,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,27.5110143538771,18.0050412384029
38,01155107,41,OR,Oregon,248606993270,6192386935,2.51,0.01,2.58,0.01,2.39,0.02,4081943,,16.4192605618572,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,25.5687781713341,28.1777401848714
39,01779798,42,PA,Pennsylvania,115884442321,3394589990,2.46,0.01,2.57,0.01,2.22,0.02,12791181,,110.378759597155,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,17.3320693266124,12.5356014063209
40,01219835,44,RI,Rhode Island,2677779902,1323670487,2.47,0.01,2.62,0.02,2.24,0.03,1056611,,394.584707731517,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,5.16520325985205,0.309731708071618
41,01779799,45,SC,South Carolina,77864918488,5075218778,2.54,0.01,2.56,0.01,2.5,0.02,4955925,,63.647726039343,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,15.9989522190365,7.8616162049196
42,01785534,46,SD,South Dakota,196346981786,3382720225,2.43,0.01,2.54,0.03,2.2,0.02,864289,,4.40184510165781,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,23.8789650453139,22.5785607327672
43,01325873,47,TN,Tennessee,106802728188,2350123465,2.53,0.01,2.57,0.01,2.45,0.03,6651089,,62.2745234400042,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,22.6132620993731,10.8895099974347
44,01779801,48,TX,Texas,676653171537,19006305260,2.86,0.03,2.99,0.01,2.64,0.01,27885195,,41.2104696659583,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,70.6435609293775,65.2035735740501
45,01455989,49,UT,Utah,212886221680,6998824394,3.13,0.01,3.25,0.01,2.85,0.02,3045350,,14.305059181226,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,20.0016111070128,22.9749577424437
46,01779802,50,VT,Vermont,23874175944,1030416650,2.31,0.01,2.41,0.02,2.07,0.03,624977,,26.1779506637618,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,9.83288111891725,2.79808872033157
47,01779803,51,VA,Virginia,102257717110,8528531774,2.61,0.01,2.67,0.01,2.5,0.01,8413774,,82.2800883668192,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,30.7385094568067,10.7127968952498
48,01779804,53,WA,Washington,172112588220,12559278850,2.55,0.01,2.65,0.01,2.39,0.01,7294336,,42.3811882410143,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,43.3286680450543,20.925834162627
49,01779805,54,WV,West Virginia,62266474513,489028543,2.42,0.01,2.47,0.02,2.29,0.03,1829054,,29.3746195574013,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,20.7418960328448,6.49387341316813
50,01779806,55,WI,Wisconsin,140290039723,29344951758,2.4,0.01,2.52,0.01,2.17,0.03,5778394,,41.1889112827206,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,27.0914057804221,16.4944077513901
51,01779807,56,WY,Wyoming,251458544898,1867670745,2.46,0.02,2.54,0.02,2.29,0.05,581836,,2.31384461496829,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,21.9993309972894,27.9708582150807
52,01779808,72,PR,Puerto Rico,8868896030,4922382562,2.78,0.01,2.83,0.01,2.67,0.02,3386941,,381.889807766751,esri_demographics,2020/04/01 20:53:25+00,esri_demographics,2020/04/01 20:53:25+00,0,6.75019736149317,0.765533482551133
