OBJECTID,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER,POP_DENSITY,B02001_002E,B02001_002M,B02001_003E,B02001_003M,B02001_004E,B02001_004M,B02001_005E,B02001_005M,B02001_006E,B02001_006M,B02001_007E,B02001_007M,B02001_008E,B02001_008M,B03001_002E,B03001_002M,B03001_003E,B03001_003M,DP05_0077PE,DP05_0082PM,DP05_0071PM,DP05_0071PE,DP05_0083PM,DP05_0077PM,DP05_0078PE,DP05_0078PM,DP05_0079PE,DP05_0079PM,DP05_0080PE,DP05_0080PM,DP05_0081PE,DP05_0081PM,DP05_0082PE,DP05_0083PE,SHAPE_Length,SHAPE_Area
17,20,00481813,0400000US20,20,KS,Kansas,00,211753474780,1346010601,13.7454745572605,2455935,3752,170291,1995,24010,1018,85794,1274,2382,322,71683,3620,100557,2672,2564972,72,345680,71,75.9,0.1,0.1,11.9,0.1,0.1,5.7,0.1,0.7,0.1,2.9,0.1,0.1,0.1,0.1,2.9,21.4055389572638,22.0043277343008
18,21,01779786,0400000US21,21,KY,Kentucky,00,102282218059,2372611005,43.4978052336881,3868479,2812,358928,2240,9386,853,65191,1017,3182,554,43601,2487,100285,2728,4286058,515,162994,515,84.6,0.1,0.1,3.7,0.1,0.1,8,0.1,0.2,0.1,1.5,0.1,0.1,0.1,0.1,2,22.4636485614097,10.6679403582871
19,22,01629543,0400000US22,22,LA,Louisiana,00,111899106382,23752001883,41.6836394034895,2892275,3868,1502963,3062,26361,1082,80806,1372,1406,324,65592,3483,94959,3487,4425198,365,239164,365,58.7,0.1,0.1,5.1,0.1,0.1,32,0.1,0.5,0.1,1.7,0.1,0,0.1,0.2,1.8,38.8045751765123,11.5442087789237
20,23,01779787,0400000US23,23,ME,Maine,00,79887659040,11745717739,16.7171252237009,1259522,837,18468,858,8660,588,15109,604,396,117,3541,544,29796,1142,1313392,0,22100,0,93.2,0.1,,1.7,0.1,0.1,1.3,0.1,0.6,0.1,1.1,0.1,0,0.1,0.1,2,37.6034758942863,9.75320539172595
21,24,01714934,0400000US24,24,MD,Maryland,00,25151726296,6979340970,239.301586267548,3343003,5324,1799094,3624,16762,1219,378126,1823,3034,387,272137,6363,206692,5134,5412366,0,606482,0,50.9,0.1,,10.1,0.1,0.1,29.4,0.1,0.2,0.1,6.2,0.1,0,0.1,0.3,2.9,28.7194184181003,2.77229835806167
22,25,00606926,0400000US25,25,MA,Massachusetts,00,20204387828,7130663019,339.062636211439,5348538,6301,522357,4279,14764,1052,452436,2437,2804,473,286619,5725,223035,4364,6041374,328,809179,328,71.6,0.1,0.1,11.8,0.1,0.1,6.9,0.1,0.1,0.1,6.6,0.1,0,0.1,0.8,2.1,17.6297312470911,2.31854783369275
23,26,01779789,0400000US26,26,MI,Michigan,00,146608689865,103878116983,67.9718576653007,7813755,4058,1374314,4050,53316,1913,311721,2061,3099,339,117801,3429,291259,5445,9457912,71,507353,72,75,0.1,0.1,5.1,0.1,0.1,13.6,0.1,0.5,0.1,3.1,0.1,0,0.1,0.1,2.5,58.0978422847974,17.0547667787834
24,27,00662849,0400000US27,27,MN,Minnesota,00,206230065476,18942261495,26.9765612844042,4609049,3240,356515,2787,58011,1242,268181,1894,2194,268,104032,3530,165396,3999,5263822,33,299556,33,79.8,0.1,0.1,5.4,0.1,0.1,6.3,0.1,0.9,0.1,4.8,0.1,0,0.1,0.1,2.6,35.0807593196968,25.5395620153738
25,28,01779790,0400000US28,28,MS,Mississippi,00,121536584987,3923863925,24.555717114474,1743217,2151,1125623,1996,14269,721,29605,1000,680,250,30728,1954,40296,1937,2893216,993,91202,993,56.6,0.1,0.1,3.1,0.1,0.1,37.6,0.1,0.4,0.1,1,0.1,0,0.1,0.1,1.2,24.6095201178509,11.8854166203589
26,29,01779791,0400000US29,29,MO,Missouri,00,178049911275,2489250399,34.2876329242922,5015904,3046,701334,2959,27084,1366,120654,1282,8231,550,71335,2973,160368,4219,5850119,210,254791,210,79.4,0.1,0.1,4.2,0.1,0.1,11.4,0.1,0.4,0.1,2,0.1,0.1,0.1,0.2,2.3,24.7132958732242,18.6154449481328
27,30,00767982,0400000US30,30,MT,Montana,00,376966832749,3869031338,2.78711257523169,930204,1008,5303,555,66839,1153,8259,496,807,255,7076,894,32161,1364,1010335,129,40314,129,86.1,0.1,0.1,3.8,0.1,0.1,0.4,0.1,6.1,0.1,0.8,0.1,0.1,0.1,0.1,2.7,36.3101196190043,45.0797986102684
28,31,01779792,0400000US31,31,NE,Nebraska,00,198953801353,1374686302,9.62319386199117,1666871,2543,92406,1494,17673,866,45655,988,1327,252,40253,2218,50386,2197,1706300,105,208271,105,79,0.1,0.1,10.9,0.1,0.1,4.7,0.1,0.8,0.1,2.4,0.1,0.1,0.1,0.1,2.2,24.1940176763819,21.614456008197
29,32,01779793,0400000US32,32,NV,Nevada,00,284537049864,1839662829,10.4463794835179,1949707,6861,271005,2785,38026,1495,242267,2134,20022,841,304947,7143,146408,4503,2119341,0,853041,0,49.2,0.1,,28.7,0.1,0.1,8.7,0.1,0.9,0.1,8,0.1,0.6,0.1,0.3,3.5,23.8186892377616,29.939668521755
30,33,01779794,0400000US33,33,NH,New Hampshire,00,23189198255,1026903434,58.1358607216755,1252128,1387,21546,1100,2036,345,36180,804,443,158,7510,1102,28281,1252,1297631,230,50493,230,90.1,0.1,0.1,3.7,0.1,0.1,1.4,0.1,0.1,0.1,2.7,0.1,0,0.1,0.1,1.8,9.52798255128175,2.68356660681959
31,34,01779795,0400000US34,34,NJ,New Jersey,00,19048848841,3543837357,466.091314709278,6018074,9356,1194882,4496,19711,1481,840168,2249,3458,493,558665,10598,243545,5904,7083767,0,1794736,0,55.4,0.1,,20.2,0.1,0.1,12.7,0.1,0.1,0.1,9.4,0.1,0,0.1,0.4,1.8,8.69260338686502,2.13007637804955
32,35,00897535,0400000US35,35,NM,New Mexico,00,314197253999,727781442,6.65968264638831,1565366,5866,44120,1041,199845,1903,32577,1092,1644,345,180638,5595,68264,2647,1071637,0,1020817,0,37.4,0.1,,48.8,0.1,0.1,1.8,0.1,8.7,0.1,1.5,0.1,0.1,0.1,0.2,1.6,23.6745254104304,30.8929171070669
33,36,01779796,0400000US36,36,NY,New York,00,122050000805,19246143659,160.363120613746,12459687,15906,3065471,8160,79512,3225,1647606,3827,8821,985,1694965,20719,616257,11719,15851336,0,3720983,0,55.6,0.1,,19,0.1,0.1,14.3,0.1,0.2,0.1,8.3,0.1,0,0.1,0.5,2,30.8682343592076,14.0069685755464
34,37,01027616,0400000US37,37,NC,North Carolina,00,125925929633,13463401534,81.5151893650186,7049919,8837,2200761,5019,123952,1903,292992,1980,7213,682,316763,7431,273276,6210,9302211,136,962665,136,63.1,0.1,0.1,9.4,0.1,0.1,21.1,0.1,1.1,0.1,2.8,0.1,0.1,0.1,0.2,2.2,41.2633223579445,12.7821920156695
35,38,01779797,0400000US38,38,ND,North Dakota,00,178695635183,4411365971,4.23466974571066,655136,1108,21985,709,40006,923,11006,581,863,420,8109,1027,19612,1194,728400,136,28317,136,84.4,0.1,0.1,3.7,0.1,0.1,2.9,0.1,5.1,0.1,1.4,0.1,0.1,0.1,0.1,2.2,24.8454486126729,21.8397965654581
36,39,01085497,0400000US39,39,OH,Ohio,00,105823701267,10274036690,110.139759434351,9476047,4087,1446193,4080,22816,1552,258199,1811,3880,513,112836,3684,335426,5211,11211982,209,443415,209,78.9,0.1,0.1,3.8,0.1,0.1,12.2,0.1,0.1,0.1,2.2,0.1,0,0.1,0.2,2.5,17.9352577576507,11.3199127250773
37,40,01102857,0400000US40,40,OK,Oklahoma,00,177662675149,3374950118,22.1367262240177,2844070,3529,286356,2410,299621,2590,85239,1276,6260,378,106709,3625,304615,4018,3514964,0,417906,0,65.6,0.1,,10.6,0.1,0.1,7.1,0.1,7.3,0.1,2.1,0.1,0.1,0.1,0.1,6.9,27.2111117398706,18.0050010438956
38,41,01155107,0400000US41,41,OR,Oregon,00,248607777514,6191602576,16.6117208451672,3480920,5357,78679,1602,48060,1868,180580,1794,16625,824,126587,4786,198352,3751,3592586,0,537217,0,75.7,0.1,,13,0.1,0.1,1.8,0.1,0.9,0.1,4.3,0.1,0.4,0.1,0.1,3.7,25.9604801544946,28.1784543179937
